id,operation,property_type,place_name,state_name,lat,lon,surface_covered_in_m2,floor,rooms,price
fc047b4f4f3a0674f0d3e777d93770e3102292b8,sell,apartment,Pernambuco,Pernambuco,-8.1065073473,-34.8875360593,132,6,4,800000.0
25be3f29bf6d61eefa8c5db655e56d9bd14fe873,sell,apartment,Pernambuco,Pernambuco,-8.123130811,-34.8978357419,169,5,4,945000.0
e44b3ef7adbb2d1e3bd3427139f7688a0c20ae57,sell,apartment,Pernambuco,Pernambuco,-8.235076,-34.985107,508,6,5,5100000.0
99a113d5d06f0aeb4825e9fe247b0a0268e12ab0,sell,apartment,São Paulo,São Paulo,-23.983934,-46.204876,142,2,3,550000.0
56224d851487ddce43de4b82d4502221bf7d9053,sell,apartment,São Paulo,São Paulo,-23.6872733,-46.6246499,55,11,1,158000.0
34af2d8e25138f0d8df738c64726606c3325fdae,sell,apartment,São Paulo,São Paulo,-23.4942032,-46.3788413,50,1,2,150000.0
afd355b99c95e3bb2473090dfdf72d8eb3717bc8,sell,apartment,São Paulo,São Paulo,-23.9295411,-46.3418105,40,2,1,150000.0
b7717e557f89ca91982a76b5a01246ee2d9c69a3,sell,apartment,São Paulo,São Paulo,-23.9692103,-46.3809149,68,11,1,280000.0
f24f403b5b68e81438783f9b876a0b54401100f0,sell,apartment,São Paulo,São Paulo,-23.96955,-46.3819935,58,5,1,320000.0
2e2a2a12e8f111ef25d601ddbb11c04a94f487fa,sell,apartment,São Paulo,São Paulo,-23.9658093,-46.382103,64,2,1,170000.0
6c674ec08b9a1adfbf19b2b9108e200b4e14c0b4,sell,apartment,São Paulo,São Paulo,-23.9703392,-46.374207,50,10,1,195000.0
a24e730ffd4f1be8673d0a002e61688bb4004241,sell,apartment,São Paulo,São Paulo,-23.9665483,-46.3793495,48,11,1,185000.0
abfd552f5ae2dbe67546483c80e5f2adff54d1ba,sell,apartment,São Paulo,São Paulo,-23.9687066,-46.3805497,90,1,2,360000.0
3ed30a3baa13dd2f5409d44b9232f95166e6a8c8,sell,apartment,São Paulo,São Paulo,-23.9691291,-46.3813301,95,7,2,400000.0
c3bf4555cf077da90b73ad870afe4c1d9ee97e09,sell,apartment,São Paulo,São Paulo,-23.9669262,-46.3784009,67,4,2,235000.0
8726c9265a9f0a41b96a99b7b06319c6c1c7615e,sell,apartment,São Paulo,São Paulo,-23.9658765,-46.3792934,65,3,2,265000.0
b0b8be6413976b36bf13003b9302f60af91db817,sell,apartment,São Paulo,São Paulo,-23.967823,-46.3763746,80,3,2,275000.0
c063ca4b9b6a49138a15358f60375e0435da150e,sell,apartment,São Paulo,São Paulo,-23.9669262,-46.3784009,67,1,2,260000.0
f98aa45e63a7c4d8eb90cf4ec16a5af3e17196fa,sell,apartment,São Paulo,São Paulo,-23.9669266,-46.3758909,70,13,2,350000.0
bc0c0747d510564594c469d34abf5573dcaf43c5,sell,apartment,São Paulo,São Paulo,-23.96955,-46.3819935,60,5,2,320000.0
9377a81d8b369bc0649006ba5b1fb02b9a037939,sell,apartment,São Paulo,São Paulo,-23.9607656,-46.3960797,70,11,2,260000.0
8e71186c4ce424e4033aaa0573469e1562d9a871,sell,apartment,São Paulo,São Paulo,-23.9687904,-46.3797682,140,8,3,600000.0
94941d14c52d11b18bedc9b623dcbaafd2b1e8ef,sell,apartment,São Paulo,São Paulo,-23.978204,-46.3703551,100,2,2,340000.0
8dd4d7c2933450dcf22c86356839f667255d6c5a,sell,apartment,São Paulo,São Paulo,-23.9010651,-46.4240904,150,1,2,550000.0
4acfab8deb68eafbe776721ebee0de86efc7c3ab,sell,apartment,São Paulo,São Paulo,-23.9607656,-46.3960797,60,1,2,220000.0
113c94fe492e9c50cf247768e5833a23c4778ee3,sell,apartment,São Paulo,São Paulo,-23.9725788,-46.3949509,58,2,2,195000.0
19c7b9d5df350542b46d0d40ccb9db1d5b77029c,sell,apartment,São Paulo,São Paulo,-23.9725788,-46.3949509,62,1,2,225000.0
89b597601603ba36a5bcbf00d475698e7fd584be,sell,apartment,São Paulo,São Paulo,-23.9725788,-46.3949509,62,2,2,225000.0
ae815e0050d9344b5474ebc0c20069816140b746,sell,apartment,São Paulo,São Paulo,-23.9725788,-46.3949509,58,2,2,195000.0
ee1defd91b73ab2c4b1212547a42181413374447,sell,apartment,São Paulo,São Paulo,-23.9725788,-46.3949509,57,1,2,195000.0
b79da712a6a41f83217629691262054affec4e15,sell,apartment,São Paulo,São Paulo,-23.9533063,-46.4058547,83,3,2,185000.0
bdaf3dece1445737d03915c64a46230fcc563f76,sell,apartment,São Paulo,São Paulo,-23.965565,-46.371368,58,2,2,250000.0
48adf8fda0dc5f45a934a6c3f982a6a56fc35892,sell,apartment,São Paulo,São Paulo,-24.0652616,-46.5564873,70,6,2,220000.0
fbf9214a419eeb542d4014c5bc546a8adbd376aa,sell,apartment,São Paulo,São Paulo,-23.9331009,-46.3364046,50,1,1,140000.0
503956270a41cfa0afca87aa46699b7baac433fc,sell,apartment,São Paulo,São Paulo,-23.9295411,-46.3418105,62,3,2,260000.0
6da8766628d0a5ec5c67f1e30c6c0e44c3596d03,sell,apartment,São Paulo,São Paulo,-23.9295411,-46.3418105,72,13,2,260000.0
3c35dc6602bf2fc5432b551ad35f15b173c8c272,sell,apartment,Aquiraz,Ceará,-3.8385849709,-38.3959186077,58,3,2,300000.0
f438b3439bf930cfd0b1a830c1a8046968e90776,sell,apartment,Palmas,Paraná,-14.849859,-40.853519,48,3,2,135000.0
3c42e092c7954ceccc03b13ee5921b228d6f9d99,sell,apartment,Palmas,Paraná,-14.849859,-40.853519,87,5,3,228000.0
42af2a9d77a1e5f664f5badbb02c097abed16db3,sell,apartment,Palmas,Paraná,-14.849859,-40.853519,85,5,3,340000.0
9e6762d2fb1f5158ebe091b54d17b95071d05e13,sell,apartment,Palmas,Paraná,-10.194467,-48.320251,160,7,4,860000.0
fd667e7524131792b76dfdaddad12c30c8280b71,sell,apartment,Santa Catarina,Santa Catarina,-27.2423392,-50.2188556,135,3,3,350000.0
c9807d1b79ebd399fa16e822631dcf0a2866f14f,sell,apartment,Santa Catarina,Santa Catarina,-27.2423392,-50.2188556,65,2,1,185000.0
6b2053cffe575ef0fd9c1cb9ad3fb134408dc644,sell,apartment,Poá,São Paulo,-23.5083802,-46.3459846,54,6,2,220000.0
2086593a4aa57780d5b307281d86605860cf83c9,sell,apartment,Anápolis,Goiás,-16.3338782,-48.9396357,90,10,3,420000.0
3dda557ed4a88554830b1b0f9bd5c1d8bc615b09,sell,apartment,Anápolis,Goiás,-16.3356022,-48.9687896,74,2,3,175000.0
420e246c553f9dbfc0adc5f7ee74eabb1c591e15,sell,apartment,Anápolis,Goiás,-16.3399352,-48.9593369,76,4,3,210000.0
77ed81fd80df32f7e29867dbe5ad237a0eb0659c,sell,apartment,Olinda,Pernambuco,-7.9985259807,-34.8403394222,35,2,1,209900.0
11353d5f40bfda4d020c2d66461ef0b9b757f135,sell,apartment,Recife,Pernambuco,-8.1234716587,-34.8980712891,134,2,3,680000.0
3dbd5260e33283ef55d29443ddb77db3908b0ae5,sell,apartment,Recife,Pernambuco,-8.1127264,-34.9013896,56,6,2,462000.0
f8e7450400dad176af3663f1880bf74ad3620115,sell,apartment,Recife,Pernambuco,-8.1095362,-34.8984142,100,2,3,650000.0
ae11581d001c9d383ae6d5435dab5e1a431a8c4e,sell,apartment,Recife,Pernambuco,-8.114459,-34.9022782,97,4,3,708100.0
54ee0ed08884d0243c04ffb8dc33f57ff2ceac8d,sell,apartment,Recife,Pernambuco,-8.1079815,-34.889332,130,2,3,1250000.0
8954878b4bd61f7cf830d6b1e4f7c45ce2f8e6c6,sell,apartment,Recife,Pernambuco,-8.1132122,-34.8942036,174,2,4,1250000.0
96ec3b92cd45d3e40fd89dbef712bf925e5ea4b4,sell,apartment,Recife,Pernambuco,-8.1095362,-34.8984142,130,2,4,800000.0
fd13139591b5ca3f477e390d1ff0e155e5089200,sell,apartment,Recife,Pernambuco,-8.0990031,-34.8841016,155,2,4,2200000.0
24b8e920353f3bcd5f06778337acb139e13c6ed0,sell,apartment,Recife,Pernambuco,-8.0976732,-34.8836064,187,2,4,2500000.0
c5f594847900749c9380036568fbe7c4af9977c3,sell,apartment,Recife,Pernambuco,-8.1431623,-34.904245,280,1,4,2800000.0
61be9c0e75b4702c61a8eba6de64f9e502da42b6,sell,apartment,Recife,Pernambuco,-8.1098763165,-34.8896598816,467,17,4,2850000.0
bcab9d4a356f3585d41e15ccb503697acba71708,sell,apartment,Recife,Pernambuco,-8.0944414747,-34.8826756529,187,22,4,2950000.0
d01b5cbe6c3cfdcf11be25754a2913cfcc707de2,sell,apartment,Recife,Pernambuco,-8.1194539408,-34.895604144,168,7,3,1200000.0
6ce9678769c9d73714809a9ae6f78505d7535b11,sell,apartment,Recife,Pernambuco,-8.0978100652,-34.8850250244,147,16,4,1790000.0
27184db50c76e35ca4a30b008b15d8f21ab30a5c,sell,apartment,Recife,Pernambuco,-8.1335543825,-34.9092219176,51,12,2,340000.0
5485cbfef61cc28fe0bbe301d3552aa7082cd8cc,sell,apartment,Recife,Pernambuco,-8.1003892225,-34.8859911071,152,6,4,1587230.0
44837d71349a2bbc42eaba186df8c8e6b4e5b129,sell,apartment,Recife,Pernambuco,-8.1049314871,-34.8868494137,303,2,4,4900000.0
ea42b7c5d981bd1756745b965838d6f19429919d,sell,apartment,Recife,Pernambuco,-8.0957387896,-34.8825578793,370,29,4,4173000.0
1ade8594b7d71640d4ef13550d624b9bf67f41e1,sell,apartment,Recife,Pernambuco,-8.0994245846,-34.8851966858,720,18,6,3000000.0
83e9fb30e8146639da6d4231e047ea9c2fcafb5e,sell,apartment,Recife,Pernambuco,-8.1144483815,-34.8919992551,172,3,4,2100000.0
f56e0e9fc9445680e75fb5a7ffeb82d166df0e99,sell,apartment,Recife,Pernambuco,-8.1043443909,-34.8868494137,189,17,4,1750000.0
afd8aa3113975de23669f85f337449ede87e08e0,sell,apartment,Recife,Pernambuco,-8.1060592963,-34.887879382,402,21,4,3790000.0
67bdc54041702274451179c388b5b257e4d8c9ef,sell,apartment,Recife,Pernambuco,-8.1238878197,-34.9060754906,170,20,4,1450000.0
d47d4d02b6e2d057726fadcd9a42e3833339440c,sell,apartment,Recife,Pernambuco,-8.0951053459,-34.88255788,142,6,3,775000.0
67ff0defb87a6368672640bf168164e6f5d7a641,sell,apartment,Recife,Pernambuco,-8.116642185,-34.9022989377,143,21,4,995000.0
188f348618243cc2cc03c00d33158ac7bad9f214,sell,apartment,Recife,Pernambuco,-8.1384645634,-34.9093714965,277,9,3,1250000.0
a03fc50fd07dc2b89577049bf8821f7cb518ca51,sell,apartment,Recife,Pernambuco,-8.1178306847,-34.9016896499,144,21,4,1100000.0
5ef0fd1e1061e6ed19dbfeffbc511f901f258522,sell,apartment,Arujá,São Paulo,-23.4227161,-46.364588,98,7,3,370000.0
e765194d4a9b7cc97e8c7c340e2288d6174c15b9,sell,apartment,Osasco,São Paulo,-23.5579367,-46.7761665,74,16,3,550000.0
854af00ef9e81d651da2734a97ff5cc2451ad857,sell,apartment,Osasco,São Paulo,-23.5435212,-46.81232,62,3,2,220000.0
863f924ca456356db5cba318c54f6381196b5c20,sell,apartment,Osasco,São Paulo,-23.5448125,-46.8109655,54,1,2,220000.0
14cce4bced0e0e728ab701b60cc4aa79113b54db,sell,apartment,Osasco,São Paulo,-23.5753397,-46.8030588,50,3,2,225000.0
6ca62cbfd085a572dcc1922d462b01feee7082a8,sell,apartment,Osasco,São Paulo,-23.5727555,-46.8034903,47,3,2,192000.0
6b067507da515aa82e8f3cf737e3ff555b816589,sell,apartment,Osasco,São Paulo,-23.5309089,-46.8110376,60,9,2,320000.0
94bbba05ba18b1775972aa81e73c13abbe450b19,sell,apartment,Osasco,São Paulo,-23.5125649,-46.8092293,58,6,2,245000.0
558089e4286429c1d47a076d01af72fdd5d9747b,sell,apartment,Osasco,São Paulo,-23.5166033,-46.7868902,63,7,3,280000.0
f2ceda99dbf1d12dbf22662d4a3a00c231cb0805,sell,apartment,Santos,São Paulo,-23.9759887,-46.3180637,120,7,2,800000.0
7890045b67a5e7eddbd9bc973e69f7553925e61d,sell,apartment,Santos,São Paulo,-23.967766,-46.346191,90,12,2,450000.0
0eec32784397e6ae8a63f92e608afee3bc63e0ea,sell,apartment,Santos,São Paulo,-23.965317,-46.330898,139,6,3,1300000.0
b02bc6959b9aea74bdc056f9cc376a624adbbba2,sell,apartment,Santos,São Paulo,-23.962734,-46.33577,152,7,3,750000.0
aeac8a2cc8b9147c67860efbe73c72430d473a30,sell,apartment,Santos,São Paulo,-23.967766,-46.346191,130,11,3,1100000.0
e35b5b581cf866dd4e5aaa0baeee743da5e94d41,sell,apartment,Santos,São Paulo,-23.534998,-46.630943,429,2,4,1800000.0
a0d9466a75374f8c2b27e9dcf6800aac33f2c3f9,sell,apartment,Santos,São Paulo,-23.967766,-46.346191,408,7,4,2354000.0
b1bbf2ef8afb7d1e3f16a15d165c26574dc9ff0b,sell,apartment,Santos,São Paulo,-23.967766,-46.346191,508,4,4,4350000.0
53cfa9da5d055376bdc75a5eaaec089d00fff050,sell,apartment,Santos,São Paulo,-23.9587197,-46.3188036,50,3,1,200000.0
04d6ed8de76136e7efa9fb0e8282cd857fcecf5f,sell,apartment,Santos,São Paulo,-23.9530882,-46.3157042,115,2,2,290000.0
3c0d86da9eefdf3b9698ec32a4b70185fd4112fc,sell,apartment,Santos,São Paulo,-23.9678823,-46.3288865,94,14,2,460000.0
d71999b220bde1552bc1ac4592bbb32000b1fcc6,sell,apartment,Santos,São Paulo,-23.9628628,-46.3127152,86,3,2,330000.0
670dee175be5a9f107a22e0c431df4b8503c37e8,sell,apartment,Santos,São Paulo,-23.9546101,-46.3144473,77,3,2,325000.0
275557d04d0cc0f2d9645ef62e4a20f3c058a344,sell,apartment,Santos,São Paulo,-23.9678823,-46.3288865,89,8,2,480000.0
254442d69a38f34bfad266e643ad5f580e5e17d2,sell,apartment,Santos,São Paulo,-23.9546101,-46.3144473,237,5,3,600000.0
9994e70e0a2c418eab2db604bfe1bf7ade839c2b,sell,apartment,Santos,São Paulo,-23.9610999,-46.3160365,92,5,3,450000.0
