id,operation,property_type,place_name,state_name,lat,lon,surface_covered_in_m2,floor,rooms,price
d3ef9aab55856e90d536a8f2195d78d0650e472a,sell,apartment,Aquiraz,Ceará,-3.850681272,-38.391122818,82,1,2,350000.0
fd667e7524131792b76dfdaddad12c30c8280b71,sell,apartment,Santa Catarina,Santa Catarina,-27.2423392,-50.2188556,135,3,3,350000.0
c9807d1b79ebd399fa16e822631dcf0a2866f14f,sell,apartment,Santa Catarina,Santa Catarina,-27.2423392,-50.2188556,65,2,1,185000.0
e164821fb07e2168e84bae9a469793ba1f595440,sell,apartment,Goiânia,Goiás,-16.657288,-49.271889,270,8,5,510000.0
c73c1dcf65b879d68a38a6e04dc1a8a683df98dc,sell,apartment,Goiânia,Goiás,-16.686891,-49.264794,56,15,2,180000.0
325afebc4551a6b20d5960591e740ad173f17011,sell,apartment,Goiânia,Goiás,-16.686891,-49.264794,160,10,4,560000.0
e74b7e156aaca6c42876dbcb48ab130c70532d6c,sell,apartment,Colombo,Paraná,-25.3415376,-49.1765128,48,2,2,145000.0
8dfac00f802d66e06f0fa9ef8dc4b8a37a7cf6e2,sell,apartment,Colombo,Paraná,-25.3469348624,-49.1819500923,62,2,3,175000.0
20a2541cb406606e065a1f15975b8388ad21eef8,sell,apartment,Colombo,Paraná,-25.3645693,-49.1942263,45,3,2,145000.0
407bf2d2e88bcb28053f507742ab82888ba88ac1,sell,apartment,Colombo,Paraná,-25.3555437,-49.1891648,45,1,2,132000.0
0555d3efc1253df3fd6a2e34c235323b089a604b,sell,apartment,Pinhais,Paraná,-25.4365612,-49.1537464,52,2,3,168900.0
64545135f0336db443c93981c328ecdaa1dac4d2,sell,apartment,Pinhais,Paraná,-25.4356206455,-49.1537547112,52,1,3,139900.0
303b0d1996be635eaf06e9eaaa9074bd6b58d7f6,sell,apartment,Anápolis,Goiás,-16.333652,-48.938219,73,4,3,230000.0
2086593a4aa57780d5b307281d86605860cf83c9,sell,apartment,Anápolis,Goiás,-16.3338782,-48.9396357,90,10,3,420000.0
c344b4a9f7f892bf4d3f2b0b054e76b7ba885fa2,sell,apartment,Anápolis,Goiás,-16.3289154,-48.9580767,90,1,3,260000.0
3dda557ed4a88554830b1b0f9bd5c1d8bc615b09,sell,apartment,Anápolis,Goiás,-16.3356022,-48.9687896,74,2,3,175000.0
fd0ef231e31a44225ce51e17c18fc763d3b1cf7b,sell,apartment,Anápolis,Goiás,-16.3338782,-48.9396357,88,3,3,290000.0
420e246c553f9dbfc0adc5f7ee74eabb1c591e15,sell,apartment,Anápolis,Goiás,-16.3399352,-48.9593369,76,4,3,210000.0
49b72ef10320cc3113491aaff6db6c9bde47287a,sell,apartment,Anápolis,Goiás,-16.333652,-48.938219,99,1,3,300000.0
ec3b9c37e444bf11770673e19a5bc80ec8c91a0e,sell,apartment,Curitiba,Paraná,-25.437098,-49.327251,137,20,3,850000.0
6ae3957ce34cbdc05365be697d790ec2ce16720e,sell,apartment,Curitiba,Paraná,-25.4557041,-49.2929181,227,9,2,1540000.0
e0eea19af93058c5a129c09f70606bbc9e1641c6,sell,apartment,Curitiba,Paraná,-25.4557041,-49.2929181,54,2,3,290000.0
f4468693c7324ccd2a87d964906ef05fa9317cec,sell,apartment,Cotia,São Paulo,-23.7520566,-47.0076817,99,4,3,380000.0
872ce2e3a4ba7837ed70b1ce21e8334df18d43e6,sell,apartment,Jales,São Paulo,-20.2710525,-50.5531137,294,9,3,1000000.0
5a6da1ccdfbc2be6fbc90ca618b81dc3682f4e1d,sell,apartment,Mauá,São Paulo,-23.6316745,-46.5649381,66,1,2,250000.0
6ca62cbfd085a572dcc1922d462b01feee7082a8,sell,apartment,Osasco,São Paulo,-23.5432411,-46.7631286,47,3,2,192000.0
49450eaed8801c7a4b46820e80dc8ad98dc5e5d1,sell,apartment,Osasco,São Paulo,-23.5609632,-46.7889715,61,10,2,300000.0
aa9af15546ee7428060ee9c65f4dbbe784c4323f,sell,apartment,Osasco,São Paulo,-23.5605477,-46.7849243,65,6,3,340000.0
f5d99f742544719e3dc9d53b401c14b8ed54d041,sell,apartment,Osasco,São Paulo,-23.5609632,-46.7889715,65,1,2,295000.0
bdb7a20045454c06d7d63ca4332d9bb700e6d3e2,sell,apartment,Osasco,São Paulo,-23.5559935,-46.7952483,445,26,4,3500000.0
6c21e9a3876a2f0a9e1272bb64801b6b077fdd3f,sell,apartment,Osasco,São Paulo,-23.5609632,-46.7889715,78,9,3,585000.0
cbe4abbcbba6a683928858641cf486e0606ef31c,sell,apartment,Osasco,São Paulo,-23.5609632,-46.7889715,61,16,2,275000.0
1cd65fb5fc7a46900c8e8b359eef7c4a0655c3cd,sell,house,Santos,São Paulo,-23.978559,-46.370266,132,12,2,1512900.0
c1a319f294b8fb9215ac2770d3b212d6eebdadd6,sell,apartment,Santos,São Paulo,-23.9733189,-46.3177189,298,24,4,2300000.0
f405ac597e2a1e21eee727bc83f6c3688e68cfbd,sell,apartment,Santos,São Paulo,-23.9688853,-46.3298162,48,6,1,280000.0
75961a40109250f0b50f0fb9a54621619592bde4,sell,apartment,Santos,São Paulo,-23.9688853,-46.3298162,48,7,1,280000.0
27eee0149bfafa477c7f65cbf19859b0056ad0f0,sell,apartment,Santos,São Paulo,-23.967188,-46.33641,50,4,1,298000.0
