id,operation,property_type,place_name,state_name,lat,lon,surface_covered_in_m2,floor,rooms,price
39d2b50e68d720184cab48c302aec6d26c3f9950,sell,apartment,Vila Olímpia,São Paulo,-23.6,-46.6833,132,6,4,1800000.0
1b367b4683d05aa6acfcbd4023043f6efc9315c4,sell,apartment,Setor Leste Vila Nova,Goiás,-16.7396,-49.191216,77,5,3,315000.0
14295976c60a6e08a98eedf64c3a64bfea57ba46,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,50,9,1,170000.0
340c48c3868c896ac3a5c3025aebb8d118a70bdf,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,72,3,2,250000.0
95e597a1535181ce371573ae3e3a67ba19b12002,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,30,2,1,105000.0
ce67ec4d0788aa0c4b168316723bf4f475cd4acb,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,70,3,1,145000.0
1d300d263d9b2d4ed09b6760da5de9b1fede5f3d,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,35,3,1,90000.0
610192aa6f33b310ed02cb909c915e732c1845fa,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,40,9,1,145000.0
16a3141156b93862cf3eae680d628f80d90f0569,sell,apartment,Bacacheri,Paraná,-25.39972,-49.24167,112,7,3,450000.0
3a34c5d8d9d65d1ecc87b1dad965e627f7424d5e,sell,apartment,Setor Noroeste,Distrito Federal,-15.743534,-47.91292,33,1,1,300000.0
1f765ff1331f97d2d5f938010644a458fcaa91e0,sell,apartment,Águas Claras,Distrito Federal,-15.83724,-48.017529,91,24,3,510000.0
c2d41e2f2c56e69d7ae06380d5c1e5a541a8c68d,sell,apartment,Setor Bueno,Goiás,-16.657863,-49.26141,80,14,2,420000.0
42bb57ff34c8881e33e951aebcdd6ee192d73a26,sell,apartment,Setor Leste Vila Nova,Goiás,-16.66813,-49.247733,65,3,2,265000.0
