id,operation,property_type,place_name,state_name,lat,lon,surface_covered_in_m2,floor,rooms,price
642177c66e5cd1f39af9887fd68788de3ec84870,sell,apartment,Aquiraz,Ceará,-3.8385956757,-38.395408988,37,3,1,200000.0
45a460ebafa45ac21bbb911ed4b529cdb4c73b37,sell,apartment,Aquiraz,Ceará,-3.8324832319,-38.4088253975,69,1,2,250000.0
a7a391546a4f46f8a707861aae721e21364c308b,sell,apartment,Aquiraz,Ceará,-3.8383815803,-38.3958730102,37,3,1,180000.0
f1702ed50626c84fb2dc9dcf50bcc2f2557c8aa3,sell,apartment,Aquiraz,Ceará,-3.8386170852,-38.3953902125,56,3,2,380000.0
31986f8189370d18c86bbdeb0f7e1b30e8f65a06,sell,apartment,Aquiraz,Ceará,-3.8390559805,-38.3951461315,37,2,1,180000.0
4235f259caa3aa204977e1e75ca00464c4c1470a,sell,apartment,Aquiraz,Ceará,-3.8413039774,-38.3921635151,67,2,2,550000.0
4e58e5047fd75de577fb199ed2fb91233e3eaa63,sell,apartment,Aquiraz,Ceará,-3.8523940087,-38.3986276388,147,3,4,610000.0
c9807d1b79ebd399fa16e822631dcf0a2866f14f,sell,apartment,Santa Catarina,Santa Catarina,-27.2423392,-50.2188556,65,2,1,185000.0
fd667e7524131792b76dfdaddad12c30c8280b71,sell,apartment,Santa Catarina,Santa Catarina,-27.2423392,-50.2188556,135,3,3,350000.0
7e255b7e12e133f7c27d0409422bb9a43260fe57,sell,apartment,Camaçari,Bahia,-12.8582396,-38.2856618,62,4,1,235000.0
fb832784a02c709b3e6b10b58959b2939d9bdb43,sell,apartment,Camaçari,Bahia,-12.8582396,-38.2856618,48,4,1,170000.0
e34404fe60b54f2cb9dcf297577d6216b192f714,sell,apartment,Goiânia,Goiás,-16.675456,-49.2922,60,8,2,200000.0
09c2fa4542a692f16839c0ae1eb480a834efa778,sell,apartment,Goiânia,Goiás,-16.654154,-49.338911,60,13,2,185000.0
0c97175dbeb00839273b011bc5d69bbef6fbf9ef,sell,apartment,Goiânia,Goiás,-16.686891,-49.264794,56,16,2,180000.0
f4040dfc9746d76198ecb5f8fe687a79e652b0e9,sell,apartment,Goiânia,Goiás,-16.701787,-49.230503,45,3,1,240000.0
19f8bd549bd20a3cae289b167661763f87140d1f,sell,apartment,Fortaleza,Ceará,-3.749134,-38.5294162,163,2,4,1155383.0
