id,operation,property_type,place_name,state_name,lat,lon,surface_covered_in_m2,floor,rooms,price
b82f97ee4d12f408c9420a93fb76d57c9fcc08bf,sell,apartment,Aquiraz,Ceará,-3.90139,-38.39111,70,4,2,450000.0
f09d0f1be7f248ab8acf8d7d7a7c44f047cb053b,sell,apartment,Aquiraz,Ceará,-3.90139,-38.39111,140,1,3,860000.0
4dd531f93796f2e0a957c89256d947e1786666de,sell,apartment,Aquiraz,Ceará,-3.90139,-38.39111,175,1,4,1100000.0
b1b24c00324f6fea6333263db8e12b945deb1bd9,sell,apartment,Aquiraz,Ceará,-3.90139,-38.39111,87,1,3,615000.0
2b9a7db07a91165f6da779c2ffbb05495ef178e8,sell,apartment,Aquiraz,Ceará,-3.8481419,-38.3931537,67,4,2,409000.0
3d20a8d425bc0fa7231f57aa28a1f3e4596111db,sell,apartment,Aquiraz,Ceará,-3.8481419,-38.3931537,68,1,2,450000.0
b46c3f743837aff4c8ed7d91da530173b138e703,sell,apartment,Aquiraz,Ceará,-3.8481419,-38.3931537,136,1,3,1001717.0
2aaa6e7743481f9e73b7713eb5f5b3c2afc43911,sell,apartment,Aquiraz,Ceará,-3.8359301845,-38.402248621,68,1,2,390000.0
69851d43784defb701bade3447b8c983d925df09,sell,apartment,Aquiraz,Ceará,-3.8321567341,-38.4084579349,69,4,2,240000.0
31986f8189370d18c86bbdeb0f7e1b30e8f65a06,sell,apartment,Aquiraz,Ceará,-3.8390559805,-38.3951461315,37,2,1,180000.0
4235f259caa3aa204977e1e75ca00464c4c1470a,sell,apartment,Aquiraz,Ceará,-3.8413039774,-38.3921635151,67,2,2,550000.0
4e58e5047fd75de577fb199ed2fb91233e3eaa63,sell,apartment,Aquiraz,Ceará,-3.8523940087,-38.3986276388,147,3,4,610000.0
0bb32b069176ca26493f38a59e84976c23bfcaff,sell,apartment,Aquiraz,Ceará,-3.8608291867,-38.3861446381,115,3,3,820000.0
03fd6d05cdbc90197f226247fda8c61df67e71f6,sell,apartment,Goiânia,Goiás,-16.643697,-49.313273,97,15,3,448494.0
f8632c3d765b287dd58a2a4f62f97622cc304af0,sell,apartment,Goiânia,Goiás,-16.643697,-49.313273,66,13,2,305959.0
fd75bce8d7c7b66a5ef57e2b901f697468d40cbd,sell,apartment,Goiânia,Goiás,-16.685624,-49.279432,58,3,2,215269.0
c89cfd61d7df689fdeccb4cddbe450986ca3aad4,sell,house,Goiânia,Goiás,-16.733365,-49.240843,146,1,3,465000.0
f782da49eb0c9b3aa0dba339ec6e9a6ecedf8d79,sell,store,Cascavel,Paraná,-24.9735091,-53.4638147,27,12,1,350000.0
e6729ad8b5e7a6a1c5644eb75b2dfa415608d66d,sell,apartment,Cotia,São Paulo,-23.5860576,-46.8688931,27,5,1,280000.0
9d5089d6104b294e348ec65e688e4fd19e0ede09,sell,apartment,Recife,Pernambuco,-8.01172,-34.92999,69,3,3,302000.0
8273bf26c0218c709e1e0eacfcd3025f59aa59b3,sell,apartment,Recife,Pernambuco,-8.0397908,-34.896209,80,10,3,460000.0
15b6747635e09e22978814f2a0a54bf7b612e530,sell,apartment,Recife,Pernambuco,-8.0292474,-34.9037933,120,1,4,480000.0
1475af91bfb2cfc2c02cfa32ca8e15449fd45120,sell,apartment,Recife,Pernambuco,-8.0343524,-34.9106874,303,10,4,1500000.0
520655922f384f617dd0c8fa3ecbecd378d16fd6,sell,apartment,Recife,Pernambuco,-8.0343524,-34.9106874,100,8,3,480000.0
3c541a5673f5843b90f97b1d3855d6b0c50d9a2a,sell,apartment,Recife,Pernambuco,-8.0438528,-34.9079298,75,15,3,395000.0
afdfd0eea3fec6610e07474afd316a4c45f5af68,sell,apartment,Recife,Pernambuco,-8.0809185,-34.9423933,64,3,2,200000.0
a1209d2cff5935dff0730b4b540b33ec32e47cec,sell,apartment,Recife,Pernambuco,-8.0849483,-34.9603088,58,4,3,250000.0
9a2cf0887ce340da8144fc5a8d56c720bae11716,sell,apartment,Recife,Pernambuco,-8.1107877,-34.9203383,52,3,2,160000.0
8a07801f3fd160af9ce62b07d3e114f833dec03a,sell,apartment,Recife,Pernambuco,-8.0205070856,-34.9400827289,58,4,2,336000.0
780a270564832f0b51183e2d5aa776d6b7b77891,sell,apartment,Recife,Pernambuco,-8.0274051265,-34.9076883495,66,26,3,439000.0
02536dc3f0f4e14f46f4269bbffd78a7693f8264,sell,apartment,Osasco,São Paulo,-23.5551886,-46.7756636,65,16,3,413400.0
7df201bf40292e85da4b431f148b9391c029d070,sell,apartment,Osasco,São Paulo,-23.5551886,-46.7756636,54,9,2,320000.0
9b5e26359e30700d0499a5be5e599cd08c23f681,sell,apartment,Osasco,São Paulo,-23.5551886,-46.7756636,65,5,3,402000.0
a8ccf7946513d2bb0c9f571dec1972bbca17317c,sell,apartment,Cajamar,São Paulo,-23.40444,-46.8596576,59,11,3,260000.0
74663eb381236794fe7ba6fc4bc9bcfde4339f7c,sell,apartment,Cajamar,São Paulo,-23.4025682,-46.8586416,59,13,3,245000.0
8737fa5f6fbd867849b47afc757f858d6bb5893e,sell,apartment,Cajamar,São Paulo,-23.4037523,-46.8550291,47,9,2,200000.0
5a91bca529294cefc4fb8edfe21f6704e00034e2,sell,apartment,Cajamar,São Paulo,-23.4037523,-46.8550291,47,6,2,190000.0
fff51d402c53665d4d280679da5f7675a3a80f44,sell,apartment,Cajamar,São Paulo,-23.4039701,-46.8630949,47,12,2,190000.0
4267801d2981a09eae71b7dff7ce753f041fac5b,sell,apartment,Cajamar,São Paulo,-23.4039863,-46.8627939,56,10,3,250000.0
5d24a8640aa8025398043b1d3aeced52295bdf07,sell,apartment,Cajamar,São Paulo,-23.4039863,-46.8627939,56,7,3,250000.0
a69ef7d821f0cc92c326dac597341b1c89ec9cdf,sell,apartment,Cajamar,São Paulo,-23.4039863,-46.8627939,56,8,3,260000.0
c96673e875f972c1b4adbdead1c740270fffe621,sell,apartment,Cajamar,São Paulo,-23.4040274,-46.8620381,47,19,2,233000.0
4c650984a4fe95a524e46725aa9363d7df0cc1b8,sell,apartment,Cajamar,São Paulo,-23.4046072,-46.8563244,57,4,3,250000.0
0dad0cee2b266dfd2712480143b48e240220a6cc,sell,apartment,Caldas Novas,Goiás,-17.741139,-48.622789,59,3,1,180000.0
f8e6be21b57d721c3894bf13f82f62ab789572b0,sell,apartment,Bertioga,São Paulo,-23.8330101281,-46.1174082756,191,4,4,734000.0
1dde7d671ac49fb010178aa55833d9918ea3e62e,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,200,8,4,750000.0
c5b3eeb4cbd4c9025216a691973cfad01ac0735a,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,140,17,3,850000.0
0744b258f7078fdc461236bb73abb7963e6d19cb,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,140,8,3,1200000.0
8697b9874876f049bccd63afb55d06f1ff5df4e7,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,140,8,3,850000.0
a8de59cbd674c702a16f7a9ad9ec895780ab1ff2,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,140,4,4,750000.0
bd070444e5b422da7e8e84e0d9bc8210d54099ac,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,120,15,3,585000.0
aaef2948b08ba0601da84a686cf0431364397e88,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,65,1,2,350000.0
25870a077e6f8d537a4e444184cf3955c3eb5366,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,75,7,2,350000.0
52e4c8b07a48b9cd3432a6943c99b6a100ae8eee,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,120,4,3,760000.0
90ffff9b176c63bca7622164859e86c5e968b382,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,100,5,2,410000.0
d831ce434e44fad57fc88a799643ebd288d65e18,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,170,4,4,1500000.0
e3cfd2a3b717d9b676f0f2ff0584481a1cd4ae42,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,100,15,2,480000.0
ce19dfaa2de5847e44c455fa05dde204473ad01a,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,90,4,3,585000.0
c3134e4665e181c7087b8a39f4fdd06ab9509357,sell,apartment,Guarujá,São Paulo,-24.0053703,-46.2684235,157,8,3,800000.0
